user_id,date,walking,in bus,in train,in passenger vehicle,running,cycling,total,sustainable,percent_sustainable
1000848025,2025-04-03,3.550134216,0,0,25.828684203999998,0,0,29.379,3.55,12.08
1000848025,2025-04-04,0,0,0,23.594062011,0,0,23.594,0,0.0
1000848025,2025-04-05,1.30596106,0,0,31.726668946,0,0,33.033,1.306,3.95
1000848025,2025-04-06,0,0,0,57.05465014699999,0,0,57.055,0,0.0
1000848025,2025-04-07,0.750505188,0,0,62.94044018500001,0,0,63.691,0.751,1.18
1000848025,2025-04-11,0,0,0,10.059859863,0,0,10.06,0,0.0
1000848025,2025-04-12,3.238380554,0,0,74.337847169,0,0,77.576,3.238,4.17
1000848025,2025-04-13,0,0,0,55.233353027,0,0,55.233,0,0.0
1000848025,2025-04-14,4.432234955,3.058358887,57.887917969,14.235490234,0,0,79.614,65.379,82.12
1000848025,2025-04-15,1.3039702149999999,6.004240234,0,0,0,0,7.308,7.308,100.0
1000848025,2025-04-16,0.369309463,5.802774658000001,0,0,0,0,6.172,6.172,100.0
1000848025,2025-04-17,1.5305040890000001,5.3103244620000005,0,0,0,0,6.841,6.841,100.0
1000848025,2025-04-18,1.963350525,0,0,49.22617041,0,0,51.19,1.963,3.84
1000848025,2025-04-19,0.6822072140000001,0,0,62.252777344,0,0,62.935,0.682,1.08
1000848025,2025-04-20,0,0,0,57.528202027999995,0,0,57.528,0,0.0
1000848025,2025-04-21,1.054004028,0,0,0.047064945000000004,0,0,1.101,1.054,95.73
1000848025,2025-04-22,1.849254638,0,16.87871875,79.102555299,0,0,97.831,18.728,19.14
1000848025,2025-04-23,5.453132399,0,0,78.67892608700001,0,0,84.132,5.453,6.48
1000848025,2025-04-24,0.621818558,6.437676757999999,0,90.20830279500001,0,0,97.268,7.059,7.26
1000848025,2025-04-25,1.774295295,0,0,17.099854418,0,0,18.874,1.774,9.4
1000848025,2025-04-26,0.292823197,0,0,50.737972443,0,0,51.031,0.293,0.57
1000848025,2025-04-27,0,0,0,17.698552246,0,0,17.699,0,0.0
1000848025,2025-04-28,2.694032363,5.925845947000001,0,15.875142578000002,0,0,24.495,8.62,35.19
1000848025,2025-04-29,0.660763793,5.6780432130000005,0,9.684910155999999,0,0,16.024,6.339,39.56
1000848025,2025-04-30,0,0,0,5.670583252,0,0,5.671,0,0.0
1000848025,2025-05-01,1.384592041,0,0,73.569339111,0,0,74.954,1.385,1.85
1000848025,2025-05-02,0,0,0,7.540728515,0,0,7.541,0,0.0
1000848025,2025-05-03,0,0,0,13.404592773999997,0,0,13.405,0,0.0
1000848025,2025-05-04,1.2697108149999998,0,0,41.653578094,0,0,42.923,1.27,2.96
1000848025,2025-05-05,3.040813264,5.470919189,55.736027344,12.747760741999999,0,0,76.996,64.248,83.44
